日期,中国:公开市场操作:货币净投放,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,中国:平均批发价:猪肉,南华工业品指数,地铁客运量
2020-7-3,-250.0,136.3422222222222,66.7737969090909,188.97,48.66333333333333,2245.9644444444443,3008.8100000000004
2020-8-1,-2700.0,137.38333333333333,59.2248374,189.38,48.39333333333334,2266.768333333333,2809.408
2020-8-2,4900.0,138.0425,62.728758600000006,189.55,48.3775,2273.58375,3041.335
2020-8-3,1800.0,139.7942857142857,64.40812836363637,189.755,48.32857142857143,2291.0285714285715,3025.906363636364
2020-9-1,-4700.0,141.195,64.4588882,189.89,48.23125,2283.17125,3215.284
2020-9-2,450.0,143.54833333333332,63.427882,189.93,47.60333333333333,2217.485,3106.251
2020-9-3,4800.0,145.4025,79.5003785,189.94,46.47111111111112,2176.38,3438.265
2020-10-1,-3750.0,146.38,25.8175104,190.18,44.255,2225.67,2569.054
2020-10-2,-1100.0,148.7657142857143,64.58758850000001,190.325,42.612857142857145,2229.6642857142856,3289.732
2020-10-3,2050.0,150.5725,73.91449945454545,190.49,40.01,2218.83625,3430.513636363636
2020-11-1,-1900.0,152.0257142857143,60.5579064,190.845,39.35285714285715,2198.3014285714285,3385.793
2020-11-2,-100.0,153.68875,62.61672539999999,190.77,39.40375,2283.8325,3457.74
2020-11-3,1300.0,154.82500000000002,64.8015056,191.095,39.455,2378.125,3236.986
2020-12-1,-2300.0,154.9725,67.4734956,191.38,41.93375,2441.95125,3443.635
2020-12-2,-700.0,155.17,65.6242891,191.49,43.443333333333335,2549.1966666666667,3264.717
2020-12-3,3650.0,154.86333333333334,81.72505818181818,191.77,44.34111111111111,2569.9444444444443,3443.122727272727
2021-3-1,-747.5,149.31315789473683,59.81333106666667,193.506,43.06227272727273,2728.4409523809527,2923.2163333333333
2021-3-2,-858.0,149.168125,45.9182339,193.3075,42.74166666666667,2741.8017647058828,2773.719333333333
2021-3-3,882.5,148.759,65.82335923333333,193.9425,40.8075,2751.0225,3035.854
2021-4-1,-50.0,150.24166666666667,62.5982086,195.26,33.735,2836.8016666666663,3445.679
2021-4-2,100.0,153.44714285714286,67.0845879,195.62,31.66142857142857,2880.785714285714,3522.093
2021-4-3,50.0,156.27777777777777,74.6487144,196.06,31.282222222222224,2961.28125,3751.207
2021-5-1,-400.0,158.3175,53.0773384,197.01,30.125,3161.1066666666666,3206.7000000000003
2021-5-2,400.0,159.045,68.1849181,197.2,27.6075,3108.51875,3611.97
2021-5-3,-50.0,158.71142857142857,64.22457818181819,197.625,26.107142857142858,2938.15,3232.71
2021-6-1,0.0,155.38,70.9845165,198.39,24.605,3039.5075,3037.838
2021-6-2,-50.0,152.31,50.778578800000005,198.62,23.11,3086.13,2673.222
2021-6-3,450.0,147.72375,77.710414,199.055,22.1,3082.5550000000003,3130.673
